algo,tune_args,tunes,fc,rm,trees,nodesize,combo,best,auc_po,ODP,CBI_rescale,IMAE,auc_po_flexsdm,CBI,n_p_test,n_p_train,n_a_train,mtry,max_kappa,max_spec_sens,no_omission,equal_prevalence,equal_sens_spec
rf,tr: 1000. mt: 1. ns: 1,2,,,1000,1,0.63830432798467,TRUE,0.855072801569623,0.904954804503903,0.963078261484583,0.775109601334802,0.855072801569623,0.926156522969167,64,64,851.5,1,0.503257,0.2454,0.0294,0.0949,0.3304
rf,tr: 500. mt: 1. ns: 2,2,,,500,2,0.637118075263716,FALSE,0.851629602037756,0.904954804503903,0.962140130994455,0.777554515938784,0.851629602037756,0.924280261988909,64,64,851.5,1,0.505834,0.2119,0.0379,0.0949,0.323076
rf,tr: 500. mt: 1. ns: 1,2,,,500,1,0.636882058946616,FALSE,0.845890706674338,0.904954804503903,0.969170352966668,0.776863363363363,0.845890706674338,0.938340705933336,64,64,851.5,1,0.527224,0.2249,0.0219,0.0909,0.317628
rf,tr: 2000. mt: 1. ns: 1,2,,,2000,1,0.635361116017288,FALSE,0.852026802090863,0.904954804503903,0.959105064765847,0.777501421386316,0.852026802090863,0.918210129531693,64,64,851.5,1,0.510812,0.219356,0.022948,0.0951,0.3189
rf,tr: 1000. mt: 1. ns: 2,2,,,1000,2,0.633602509184287,FALSE,0.851492094108506,0.904954804503903,0.959496830410317,0.775519502969904,0.851492094108506,0.918993660820633,64,64,851.5,1,0.500757,0.2249,0.0339,0.094682,0.322854
rf,tr: 2000. mt: 1. ns: 2,2,,,2000,2,0.630898678095058,FALSE,0.849167908301002,0.904954804503903,0.955089735693012,0.777896588221488,0.849167908301002,0.910179471386023,64,64,851.5,1,0.51015,0.211175,0.02515,0.0944,0.309527
rf,tr: 500. mt: 2. ns: 1,2,,,500,1,0.630036119464205,FALSE,0.834366864836424,0.904954804503903,0.955335411977332,0.790410176208273,0.834366864836424,0.910670823954663,64,64,851.5,2,0.4609,0.166522,0.0159,0.0949,0.278064
rf,tr: 1000. mt: 2. ns: 2,2,,,1000,2,0.62671847651098,FALSE,0.837537796086762,0.904954804503903,0.949454653616782,0.788122735711664,0.837537796086762,0.898909307233564,64,64,851.5,2,0.4474,0.226328,0.0174,0.0979,0.281984
rf,tr: 500. mt: 2. ns: 2,2,,,500,2,0.62532385548803,FALSE,0.839481347210134,0.904954804503903,0.948216100175356,0.78557313124748,0.839481347210134,0.896432200350713,64,64,851.5,2,0.497174,0.221628,0.0189,0.0939,0.2939
rf,tr: 1000. mt: 2. ns: 1,2,,,1000,1,0.625173009293442,FALSE,0.832954880729344,0.904954804503903,0.952789377621045,0.787738072240577,0.832954880729344,0.905578755242089,64,64,851.5,2,0.449201,0.23286,0.0129,0.0959,0.281484
rf,tr: 2000. mt: 2. ns: 2,2,,,2000,2,0.623598033180342,FALSE,0.835280787614144,0.904954804503903,0.9478084386247,0.787683364476701,0.835280787614144,0.895616877249401,64,64,851.5,2,0.445089,0.211498,0.0144,0.095222,0.28215
rf,tr: 2000. mt: 2. ns: 1,2,,,2000,1,0.620105809537576,FALSE,0.837496668486091,0.904954804503903,0.938789080027791,0.788705161072897,0.837496668486091,0.877578160055581,64,64,851.5,2,0.4769685,0.2432925,0.015431,0.0959865,0.2830945
