algo,tune_args,fc,rm,trees,nodesize,n_p_test,n_p_train,n_a_train,mtry,np,na,prevalence,auc,cor,pcor,ODP,auc_po,auc_po_flexsdm,CBI,CBI_rescale,IMAE,tunes
maxnet,fc: h. rm: 1,h,1,,,64,64,2475,,64,2475,0.0495768861694327,0.863281353332498,0.24811222151436,5.39694718423118e-21,0.950423113830567,0.863281353332498,0.863281353332498,0.545954387577427,0.772977193788713,0.86389756216217,2
maxnet,fc: h. rm: 1.5,h,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.862747050450949,0.250859721638332,2.63868840173313e-21,0.950423113830567,0.862747050450949,0.862747050450949,0.439905130384842,0.719952565192421,0.861259251279937,2
maxnet,fc: h. rm: 2,h,2,,,64,64,2475,,64,2475,0.0495768861694327,0.861995297739419,0.249571900264393,1.72160458193631e-20,0.950423113830567,0.861995297739419,0.861995297739419,0.404253769729887,0.702126884864944,0.859413209128062,2
maxnet,fc: h. rm: 2.5,h,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.861537072350611,0.249529235430579,6.90512936063322e-20,0.950423113830567,0.861537072350611,0.861537072350611,0.410034619356951,0.705017309678476,0.855750860474326,2
maxnet,fc: h. rm: 3,h,3,,,64,64,2475,,64,2475,0.0495768861694327,0.861216239381168,0.250870546048801,4.42868527475939e-20,0.950423113830567,0.861216239381168,0.861216239381168,0.376527469392019,0.688263734696009,0.85128368316222,2
maxnet,fc: h. rm: 3.5,h,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.86125960022936,0.253550292552679,1.29643498653293e-20,0.950423113830567,0.86125960022936,0.86125960022936,0.402964765675767,0.701482382837884,0.846876522422011,2
maxnet,fc: h. rm: 4,h,4,,,64,64,2475,,64,2475,0.0495768861694327,0.861785966592147,0.256776863980593,2.4492822998119e-21,0.950423113830567,0.861785966592147,0.861785966592147,0.429399591950175,0.714699795975088,0.843173355945194,2
maxnet,fc: h. rm: 4.5,h,4.5,,,64,64,2475,,64,2475,0.0495768861694327,0.861674033405755,0.259209932175027,7.13800886694799e-22,0.950423113830567,0.861674033405755,0.861674033405755,0.475345498416478,0.737672749208239,0.839086792101806,2
maxnet,fc: h. rm: 5,h,5,,,64,64,2475,,64,2475,0.0495768861694327,0.86078153791558,0.260140298208195,1.02071901176123e-21,0.950423113830567,0.86078153791558,0.86078153791558,0.5452215587794,0.7726107793897,0.833620517717628,2
maxnet,fc: h. rm: 5.5,h,5.5,,,64,64,2475,,64,2475,0.0495768861694327,0.85983562467013,0.260820246071179,1.54756949904752e-21,0.950423113830567,0.85983562467013,0.85983562467013,0.615831666463205,0.807915833231603,0.827974264486047,2
maxnet,fc: h. rm: 6,h,6,,,64,64,2475,,64,2475,0.0495768861694327,0.858931786195419,0.261435572981829,1.82923323147456e-21,0.950423113830567,0.858931786195419,0.858931786195419,0.688156362824703,0.844078181412352,0.822107947137996,2
maxnet,fc: l. rm: 1,l,1,,,64,64,2475,,64,2475,0.0495768861694327,0.89717412044806,0.327079232538891,2.44149403633796e-38,0.950423113830567,0.89717412044806,0.89717412044806,0.707863332763769,0.853931666381885,0.860020122384627,2
maxnet,fc: l. rm: 1.5,l,1.5,,,64,64,2475,,64,2475,0.0495768861694327,0.893017314097147,0.310845455550576,4.77110633595836e-39,0.950423113830567,0.893017314097147,0.893017314097147,0.786257244452507,0.893128622226254,0.850160719618745,2
maxnet,fc: l. rm: 2,l,2,,,64,64,2475,,64,2475,0.0495768861694327,0.889374469473013,0.301813375371371,1.73717012894928e-37,0.950423113830567,0.889374469473013,0.889374469473013,0.777353533891846,0.888676766945923,0.847971970648158,2
maxnet,fc: l. rm: 2.5,l,2.5,,,64,64,2475,,64,2475,0.0495768861694327,0.888819577693727,0.302569036483684,1.87480536593061e-37,0.950423113830567,0.888819577693727,0.888819577693727,0.769439072274677,0.884719536137338,0.846365320417723,2
maxnet,fc: l. rm: 3,l,3,,,64,64,2475,,64,2475,0.0495768861694327,0.888830310793375,0.306267982533881,1.18370721095615e-38,0.950423113830567,0.888830310793375,0.888830310793375,0.79249614614747,0.896248073073735,0.843518694834898,2
maxnet,fc: l. rm: 3.5,l,3.5,,,64,64,2475,,64,2475,0.0495768861694327,0.888620543909946,0.309339539190807,1.214905554477e-39,0.950423113830567,0.888620543909946,0.888620543909946,0.808136781378128,0.904068390689064,0.840601143683181,2
maxnet,fc: l. rm: 4,l,4,,,64,64,2475,,64,2475,0.0495768861694327,0.887996868482283,0.310823738070507,5.18543324480625e-40,0.950423113830567,0.887996868482283,0.887996868482283,0.830522782053749,0.915261391026874,0.83806584363923,2
