algo,tune_args,tunes,fc,rm,trees,nodesize,combo,best,auc_po,ODP,CBI_rescale,IMAE,auc_po_flexsdm,CBI,n_p_test,n_p_train,n_a_train,mtry,max_kappa,max_spec_sens,no_omission,equal_prevalence,equal_sens_spec
rf,tr: 500. mt: 2. ns: 2,5,,,500,2,0.442514768264923,TRUE,0.707237089719747,0.969540483126271,0.937902196118217,0.667121885169389,0.707237089719747,0.875804392236435,18.8,75.2,2417.6,2,0.6743,0.4139,0.1419,0.0303,0.4043
rf,tr: 1000. mt: 2. ns: 1,5,,,1000,1,0.4379622640186,FALSE,0.701909743357217,0.969540483126271,0.934368166591052,0.667786119027955,0.701909743357217,0.868736333182105,18.8,75.2,2417.6,2,0.6683,0.4173,0.1383,0.0305,0.4059
rf,tr: 2000. mt: 2. ns: 1,5,,,2000,1,0.434461485359956,FALSE,0.705445046235329,0.969540483126271,0.922269759438204,0.667774953657992,0.705445046235329,0.844539518876407,18.8,75.2,2417.6,2,0.6706,0.4049,0.1369,0.0301,0.4073
rf,tr: 500. mt: 2. ns: 1,5,,,500,1,0.434335208571663,FALSE,0.698914511196806,0.969540483126271,0.929798292266846,0.6683627453823,0.698914511196806,0.859596584533692,18.8,75.2,2417.6,2,0.6947,0.3995,0.1315,0.0315,0.4079
rf,tr: 1000. mt: 2. ns: 2,5,,,1000,2,0.433081167485112,FALSE,0.703470203938608,0.969540483126271,0.924170514806661,0.666149157782764,0.703470203938608,0.848341029613321,18.8,75.2,2417.6,2,0.6773,0.3981,0.1363,0.0307,0.4049
rf,tr: 2000. mt: 2. ns: 2,5,,,2000,2,0.432237027707694,FALSE,0.705144907849188,0.969540483126271,0.920343615458303,0.666029691165482,0.705144907849188,0.840687230916605,18.8,75.2,2417.6,2,0.6962,0.4151,0.1414,0.0306,0.406
rf,tr: 1000. mt: 1. ns: 2,5,,,1000,2,0.432056190645748,FALSE,0.702140618157481,0.969540483126271,0.937899547782053,0.656084546567717,0.702140618157481,0.875799095564107,18.8,75.2,2417.6,1,0.6559,0.3697,0.1673,0.0311,0.4131
rf,tr: 2000. mt: 1. ns: 1,5,,,2000,1,0.431827170377178,FALSE,0.705389338163598,0.969540483126271,0.925049908809008,0.661783460159256,0.705389338163598,0.850099817618016,18.8,75.2,2417.6,1,0.631,0.3827,0.1534,0.0312,0.4011
rf,tr: 2000. mt: 1. ns: 2,5,,,2000,2,0.427453570413091,FALSE,0.703280154090724,0.969540483126271,0.922400358666204,0.658932796154585,0.703280154090724,0.844800717332409,18.8,75.2,2417.6,1,0.6576,0.3651,0.1633,0.0301,0.405
rf,tr: 1000. mt: 1. ns: 1,5,,,1000,1,0.424724125321576,FALSE,0.701136780346105,0.969540483126271,0.914103836258114,0.662687302110965,0.701136780346105,0.828207672516228,18.8,75.2,2417.6,1,0.6221,0.4001,0.1709,0.0303,0.3987
rf,tr: 500. mt: 1. ns: 1,5,,,500,1,0.422744583909961,FALSE,0.70140617929185,0.969540483126271,0.914897863961634,0.658773090693275,0.70140617929185,0.829795727923268,18.8,75.2,2417.6,1,0.6671,0.3891,0.1455,0.0303,0.4103
rf,tr: 500. mt: 1. ns: 2,5,,,500,2,0.420499601402568,FALSE,0.702361754535655,0.969540483126271,0.907764350320222,0.659525527972524,0.702361754535655,0.815528700640443,18.8,75.2,2417.6,1,0.6547,0.3447,0.1651,0.0311,0.4079
maxnet,fc: qh. rm: 1,5,qh,1,,,0.38492772633807,FALSE,0.692428407251332,0.969540483126271,0.942657874168054,0.589725922069406,0.692428407251332,0.885315748336107,18.8,75.2,2417.6,,0.799479764,0.401622954,0.177137446,0.033869306,0.49811939
maxnet,fc: lqhp. rm: 1,5,lqhp,1,,,0.382764365956128,FALSE,0.695765245010466,0.969540483126271,0.940489340786438,0.584944808547327,0.695765245010466,0.880978681572875,18.8,75.2,2417.6,,0.807613946,0.433577086,0.179501416,0.034991366,0.501221532
maxnet,fc: qhp. rm: 1,5,qhp,1,,,0.38187629758211,FALSE,0.694755165136823,0.969540483126271,0.939688840743687,0.584933977979389,0.694755165136823,0.879377681487375,18.8,75.2,2417.6,,0.809351996,0.432126276,0.17908647,0.035144686,0.49963801
maxnet,fc: lq. rm: 1,5,lq,1,,,0.380352586633999,FALSE,0.713055790084121,0.969540483126271,0.93820612224754,0.568544680823465,0.713055790084121,0.87641224449508,18.8,75.2,2417.6,,0.763661072,0.487917084,0.194009608,0.038513646,0.546593996
maxnet,fc: lq. rm: 1.5,5,lq,1.5,,,0.376512477277795,FALSE,0.716723549565398,0.969540483126271,0.93260539763734,0.563287058926116,0.716723549565398,0.865210795274679,18.8,75.2,2417.6,,0.775283318,0.500038394,0.203020134,0.039965308,0.559212238
maxnet,fc: q. rm: 1,5,q,1,,,0.374295324281128,FALSE,0.713083019328761,0.969540483126271,0.937054059405897,0.560156862382015,0.713083019328761,0.874108118811795,18.8,75.2,2417.6,,0.805931706,0.474531434,0.201581672,0.03725565,0.577826128
maxnet,fc: h. rm: 1,5,h,1,,,0.374195868471654,FALSE,0.690005991922274,0.969540483126271,0.939952349279734,0.576952803936032,0.690005991922274,0.879904698559468,18.8,75.2,2417.6,,0.789233718,0.435563556,0.201614342,0.036709988,0.497182714
